BGP table version is 0, local router ID is 66.96.119.68
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal,
              r RIB-failure, S Stale, R Removed
Origin codes: i - IGP, e - EGP, ? - incomplete

   Network          Next Hop            Metric LocPrf Weight Path
*> 102.120.0.0/15   196.223.20.36            0             0 36972 ?
*> 102.120.0.0/16   196.223.20.36            0             0 36972 ?
*> 102.120.0.0/17   196.223.20.36            0             0 36972 ?
*> 102.120.128.0/17 196.223.20.36            0             0 36972 ?
*> 102.121.0.0/16   196.223.20.36            0             0 36972 ?
*> 102.121.0.0/17   196.223.20.36            0             0 36972 ?
*> 102.121.128.0/17 196.223.20.36            0             0 36972 ?
*> 102.122.0.0/15   196.223.20.36            0             0 36972 ?
*> 102.122.0.0/16   196.223.20.36            0             0 36972 ?
*> 102.122.0.0/17   196.223.20.36            0             0 36972 ?
*> 102.122.128.0/17 196.223.20.36            0             0 36972 ?
*> 102.123.0.0/16   196.223.20.36            0             0 36972 ?
*> 102.123.0.0/17   196.223.20.36            0             0 36972 ?
*> 102.123.128.0/17 196.223.20.36            0             0 36972 ?
*> 102.124.0.0/14   196.223.20.36            0             0 36972 ?
*> 102.124.0.0/15   196.223.20.36            0             0 36972 ?
*> 102.124.0.0/16   196.223.20.36            0             0 36972 ?
*> 102.124.0.0/17   196.223.20.36            0             0 36972 ?
*> 102.124.128.0/17 196.223.20.36            0             0 36972 ?
*> 102.125.0.0/16   196.223.20.36            0             0 36972 ?
*> 102.125.0.0/17   196.223.20.36            0             0 36972 ?
*> 102.125.128.0/17 196.223.20.36            0             0 36972 ?
*> 102.126.0.0/15   196.223.20.36            0             0 36972 ?
*> 102.126.0.0/16   196.223.20.36            0             0 36972 ?
*> 102.126.0.0/17   196.223.20.36            0             0 36972 ?
*> 102.126.128.0/17 196.223.20.36            0             0 36972 ?
*> 102.127.0.0/16   196.223.20.36            0             0 36972 ?
*> 102.127.0.0/17   196.223.20.36            0             0 36972 ?
*> 102.127.128.0/17 196.223.20.36            0             0 36972 ?
*> 102.130.248.0/21 196.223.20.108           0             0 328381 i
*> 102.143.128.0/17 196.223.20.24            0             0 33788 i
*> 102.143.192.0/21 196.223.20.24            0             0 33788 i
*> 102.143.200.0/21 196.223.20.24            0             0 33788 i
*> 102.143.208.0/21 196.223.20.24            0             0 33788 i
*> 102.143.216.0/21 196.223.20.24            0             0 33788 i
*> 102.143.254.0/24 196.223.20.24            0             0 33788 i
*> 102.143.255.0/24 196.223.20.24            0             0 33788 i
*> 102.181.0.0/17   196.223.20.36            0             0 36972 ?
*> 102.181.0.0/18   196.223.20.36            0             0 36972 ?
*> 102.181.64.0/19  196.223.20.36            0             0 36972 ?
*> 102.181.96.0/19  196.223.20.36            0             0 36972 ?
*> 102.181.96.0/20  196.223.20.36            0             0 36972 ?
*> 102.181.112.0/20 196.223.20.36            0             0 36972 ?
*> 102.181.128.0/18 196.223.20.36            0             0 36972 ?
*> 102.181.128.0/19 196.223.20.36            0             0 36972 ?
*> 102.181.160.0/19 196.223.20.36            0             0 36972 ?
*> 102.181.192.0/19 196.223.20.36            0             0 36972 ?
*> 102.181.192.0/20 196.223.20.36            0             0 36972 ?
*> 102.181.208.0/20 196.223.20.36            0             0 36972 ?
*> 105.238.0.0/15   196.223.20.32            0             0 36998 ?
*> 105.238.0.0/16   196.223.20.32            0             0 36998 ?
*> 105.238.0.0/17   196.223.20.32            0             0 36998 ?
*> 105.238.128.0/17 196.223.20.32            0             0 36998 ?
*> 105.239.0.0/16   196.223.20.32            0             0 36998 ?
*> 105.239.0.0/17   196.223.20.32            0             0 36998 ?
*> 105.239.128.0/17 196.223.20.32            0             0 36998 ?
*> 114.69.222.0/24  196.223.20.100           0             0 42 i
*> 149.112.112.0/24 196.223.20.100           0             0 42 19281 i
*> 149.112.149.0/24 196.223.20.100           0             0 42 19281 i
*> 154.96.0.0/14    196.223.20.28            0             0 36998 ?
*> 154.96.0.0       196.223.20.28            0             0 36998 36998 36998 36998 36998 36998 36998 36998 36998 ?
*> 154.96.0.0/17    196.223.20.28            0             0 36998 ?
*> 154.96.128.0/17  196.223.20.28            0             0 36998 ?
*> 154.97.0.0       196.223.20.28            0             0 36998 36998 36998 36998 36998 36998 36998 36998 36998 ?
*> 154.97.0.0/17    196.223.20.28            0             0 36998 ?
*> 154.97.128.0/17  196.223.20.28            0             0 36998 ?
*> 154.98.0.0/15    196.223.20.28            0             0 36998 36998 36998 36998 36998 36998 36998 36998 36998 ?
*> 154.98.0.0       196.223.20.28            0             0 36998 ?
*> 154.98.0.0/17    196.223.20.28            0             0 36998 ?
*> 154.98.128.0/17  196.223.20.28            0             0 36998 ?
*> 154.99.0.0       196.223.20.28            0             0 36998 36998 36998 36998 36998 36998 36998 36998 36998 ?
*> 154.99.0.0/17    196.223.20.28            0             0 36998 ?
*> 154.99.128.0/17  196.223.20.28            0             0 36998 ?
*> 154.100.0.0/14   196.223.20.32            0             0 36998 ?
*> 154.100.0.0/15   196.223.20.32            0             0 36998 ?
*> 154.100.0.0      196.223.20.32            0             0 36998 i
*> 154.101.0.0      196.223.20.32            0             0 36998 i
*> 154.102.0.0/15   196.223.20.32            0             0 36998 ?
*> 154.102.0.0      196.223.20.32            0             0 36998 i
*> 154.103.0.0      196.223.20.32            0             0 36998 i
*> 170.210.180.0/24 196.223.20.100           0             0 42 i
*> 189.201.244.0/23 196.223.20.100           0             0 42 i
*> 194.0.17.0       196.223.20.100           0             0 42 i
*> 194.0.27.0       196.223.20.100           0             0 42 i
*> 194.0.36.0       196.223.20.100           0             0 42 i
*> 194.0.42.0       196.223.20.100           0             0 42 i
