###############################################################################################
IPv4 route check output
###############################################################################################



IRR - Valid, RPKI - Valid: 866 prefixes
============================================================================================
+-----+-------+--------+------------------+-------------+
|     | irr   | rpki   | prefix           |   origin_as |
| 171 | Valid | Valid  | 49.236.212.0/24  |       55915 |
| 172 | Valid | Valid  | 49.236.213.0/24  |       55915 |
| 173 | Valid | Valid  | 49.236.214.0/24  |       55915 |
| 174 | Valid | Valid  | 49.236.215.0/24  |       55915 |
| 175 | Valid | Valid  | 49.244.0.0/16    |       23752 |
| 176 | Valid | Valid  | 49.244.0.0/18    |       23752 |
| 177 | Valid | Valid  | 49.244.0.0/21    |       23752 |
| 178 | Valid | Valid  | 49.244.8.0/21    |       23752 |
| 179 | Valid | Valid  | 49.244.16.0/21   |       23752 |
| 180 | Valid | Valid  | 49.244.24.0/21   |       23752 |
| 181 | Valid | Valid  | 49.244.32.0/21   |       23752 |
| 182 | Valid | Valid  | 49.244.40.0/21   |       23752 |
| 183 | Valid | Valid  | 49.244.48.0/21   |       23752 |
| 184 | Valid | Valid  | 49.244.56.0/21   |       23752 |
| 185 | Valid | Valid  | 49.244.64.0/18   |       23752 |
| 186 | Valid | Valid  | 49.244.64.0/21   |       23752 |
| 187 | Valid | Valid  | 49.244.72.0/21   |       23752 |
| 188 | Valid | Valid  | 49.244.80.0/21   |       23752 |
| 189 | Valid | Valid  | 49.244.88.0/21   |       23752 |
| 190 | Valid | Valid  | 49.244.96.0/21   |       23752 |
| 191 | Valid | Valid  | 49.244.104.0/21  |       23752 |
| 192 | Valid | Valid  | 49.244.112.0/21  |       23752 |
| 193 | Valid | Valid  | 49.244.120.0/21  |       23752 |
| 194 | Valid | Valid  | 49.244.128.0/17  |       23752 |
| 195 | Valid | Valid  | 49.244.128.0/21  |       23752 |
| 196 | Valid | Valid  | 49.244.136.0/21  |       23752 |
| 197 | Valid | Valid  | 49.244.144.0/21  |       23752 |
| 198 | Valid | Valid  | 49.244.152.0/21  |       23752 |
| 199 | Valid | Valid  | 49.244.160.0/21  |       23752 |
| 200 | Valid | Valid  | 49.244.168.0/21  |       23752 |
| 201 | Valid | Valid  | 49.244.176.0/21  |       23752 |
| 202 | Valid | Valid  | 49.244.184.0/21  |       23752 |
| 203 | Valid | Valid  | 49.244.192.0/21  |       23752 |
| 204 | Valid | Valid  | 49.244.200.0/21  |       23752 |
| 205 | Valid | Valid  | 49.244.208.0/21  |       23752 |
| 206 | Valid | Valid  | 49.244.216.0/21  |       23752 |
| 207 | Valid | Valid  | 49.244.224.0/21  |       23752 |
| 208 | Valid | Valid  | 49.244.232.0/21  |       23752 |
| 209 | Valid | Valid  | 49.244.240.0/21  |       23752 |
| 210 | Valid | Valid  | 49.244.248.0/21  |       23752 |
